Time(Sec),Cell Voltage(V),Current Density(A/§²),Cell Current(A),Cell Power(W),Bottle Temp(Deg C),Bottle Water Temp(Deg C),Anode Inlet Temp(Deg C),Cell Temp(Deg C),Anode Outlet Temp(Deg C),Cathode Outlet Temp(Deg C),Anode Vent Temp(Deg C),Cathode Vent Temp(Deg C),Cathode N2 MFC Flow(SCCM),Anode N2 MFC Flow(SCCM),Spare,Anode O2 MFM Flow(SCCM),Cathode H2 MFM Flow(SCCM),Anode Vent Pressure(kpa),Anode Bottle Pressure(kpa),Anode Inlet Pressure(kpa),Anode Outlet Pressure(kpa),Cathode Outlet Pressure(kpa),Cathode Vent Pressure(kpa),Anode Dewpoint(Deg C),Cathode Dewpoint(Deg C),Anode H2 Sensor(%),Cathode O2 Sensor(%),Water Conductivity(G),Liquide Flow(ccm),Anode Outlet Pressure 2(kpa),Cathode Outlet Pressure 2(kpa),H2 Sensor -1(ppm),H2 Sensor -2(ppm),Cycle,Volt Jump Cycle
41386,1.57,0.1,8.268,12.981,59.3,64.4,66.6,29.8,62.4,32.5,35.4,30.3,0,0,-1.149,12.774,41.404,3.312,7.763,23.125,0,0,0,-39.659,-40.624,1.557,0.663,0.402,297.124,16.602,10.829,0.411,5.549,0,0
41387,1.57,0.1,8.256,12.981,59.3,64.4,66.6,29.8,62.4,32.5,35.4,30.3,0,0,-1.129,13.664,42.466,3.882,7.079,19.867,0.59,0,0,-39.661,-40.624,1.557,0.662,0.395,299.661,18.473,11.76,0.642,5.32,0,0
41388,1.57,0.1,8.268,12.962,59.3,64.4,66.6,29.8,62.4,32.5,35.4,30.3,0,0,-1.103,14.57,44.138,3.715,10.115,21.043,0,0,0,-39.662,-40.623,1.557,0.659,0.406,295.109,15.375,12.317,0.096,5.613,0,0
41389,1.57,0.1,8.262,12.971,59.3,64.4,66.6,29.9,62.4,32.5,35.3,30.3,0,0,-1.149,12.694,43.367,3.646,6.115,20.919,0.324,0,0,-39.661,-40.624,1.557,0.658,0.4,297.346,16.923,13.937,0.989,5.266,0,0
41390,1.571,0.1,8.256,12.971,59.3,64.4,66.6,29.9,62.4,32.5,35.3,30.3,0,0,-1.136,14.993,44.521,3.908,6.747,20.048,0,0,0,-39.659,-40.62,1.558,0.655,0.398,299.853,16.741,15.53,0.56,5.331,0,0
41391,1.571,0.1,8.268,12.989,59.3,64.4,66.6,29.9,62.4,32.5,35.3,30.3,0,0,-1.17,13.177,45.862,3.561,6.964,21.551,0,0,0,-39.663,-40.627,1.557,0.653,0.402,297.829,16.506,13.518,0.705,5.565,0,0
41392,1.571,0.1,8.262,12.98,59.3,64.4,66.6,29.8,62.3,32.5,35.3,30.3,0,0,-1.177,16.014,47.415,3.768,6.271,20.656,0.41,0,0,-39.659,-40.626,1.558,0.65,0.396,299.9,17.308,14.468,0.383,5.338,0,0
41393,1.571,0.1,8.268,12.989,59.3,64.4,66.6,29.8,62.3,32.5,35.3,30.3,0,0,-1.153,16.99,47.533,3.431,6.725,21.266,0.456,0,0,-39.651,-40.634,1.558,0.648,0.396,297.437,16.841,13.451,0.363,5.386,0,0
41394,1.572,0.1,8.262,12.997,59.3,64.4,66.6,29.8,62.3,32.5,35.3,30.3,0,0,-1.171,16.803,47.918,3.495,6.835,21.967,2.042,0,0,-39.663,-40.624,1.557,0.646,0.397,295.978,16.303,13.539,1.413,5.546,0,0
41395,1.572,0.1,8.262,12.988,59.3,64.4,66.6,29.8,62.3,32.5,35.3,30.3,0,0,-1.145,15.81,49.063,3.833,7.297,22.625,0,0,0,-39.659,-40.623,1.558,0.643,0.392,297.132,16.817,14.157,0.291,5.516,0,0
41396,1.572,0.1,8.256,12.97,59.3,64.4,66.6,29.8,62.3,32.5,35.3,30.3,0,0,-1.178,13.24,49.388,3.443,5.842,21.952,0,0,0,-39.662,-40.622,1.557,0.641,0.447,295.085,16.961,13.049,0.459,5.661,0,0
41397,1.572,0.1,8.274,12.997,59.2,64.5,66.6,29.8,62.3,32.5,35.2,30.3,0,0,-1.101,14.857,49.97,3.718,7.73,21.488,0,0,0,-39.664,-40.63,1.557,0.638,0.472,295.037,17.241,13.927,0.654,5.199,0,0
41398,1.572,0.1,8.274,12.978,59.2,64.5,66.6,29.8,62.3,32.5,35.2,30.4,0,0,-1.116,15.42,50.019,3.519,6.663,24.493,0,0,0,-39.658,-40.629,1.558,0.636,0.457,295.069,16.552,12.913,0.504,5.516,0,0
41399,1.572,0.1,8.262,13.007,59.2,64.5,66.6,29.8,62.3,32.5,35.2,30.4,0,0,-1.108,15.476,50.583,3.649,6.469,20.524,0.054,0,0,-39.661,-40.623,1.558,0.634,0.423,295.449,18.281,13.783,0.378,5.289,0,0
41400,1.572,0.1,8.262,12.978,59.2,64.5,66.5,29.8,62.3,32.5,35.2,30.4,0,0,-1.094,16.584,50.934,3.991,7.397,21.802,0,0,0,-39.657,-40.624,1.558,0.631,0.421,295.114,16.695,13.927,-0.37,5.462,0,0
41401,1.572,0.1,8.268,12.997,59.2,64.5,66.5,29.8,62.3,32.5,35.2,30.3,0,0,-1.155,17.122,51.014,3.59,5.723,21.862,1.066,0,0,-39.664,-40.628,1.557,0.629,0.388,295.104,17.399,13.47,1.398,5.587,0,0
41402,1.572,0.1,8.268,12.997,59.2,64.5,66.5,29.8,62.3,32.5,35.2,30.3,0,0,-1.143,18.943,51.547,3.992,8.022,22.787,0,0,0,-39.653,-40.624,1.558,0.627,0.363,294.312,17.394,13.771,0.295,5.46,0,0
41403,1.572,0.1,8.256,13.007,59.2,64.5,66.5,29.8,62.3,32.5,35.2,30.3,0,0,-1.169,17.103,51.864,3.56,6.981,21.429,1.463,0,0,-39.666,-40.621,1.557,0.625,0.364,293.556,16.37,13.848,1.362,5.505,0,0
41404,1.572,0.1,8.256,12.988,59.2,64.5,66.5,29.8,62.3,32.5,35.1,30.3,0,0,-1.099,17.297,51.63,4.007,7.098,22.608,0.066,0,0,-39.655,-40.622,1.558,0.622,0.388,293.954,16.624,14.245,-0.151,5.514,0,0
41405,1.572,0.1,8.268,12.997,59.2,64.5,66.5,29.8,62.3,32.5,35.1,30.3,0,0,-1.157,16.613,52.261,3.626,5.651,22.103,0.013,0,0,-39.665,-40.623,1.557,0.618,0.397,295.115,18.004,13.783,1.094,5.275,0,0
41406,1.572,0.1,8.262,12.988,59.2,64.6,66.5,29.8,62.3,32.5,35.1,30.3,0,0,-1.119,15.335,52.483,3.684,7.503,20.412,0,0,0,-39.661,-40.631,1.558,0.617,0.41,296.12,15.385,13.843,-0.322,5.557,0,0
41407,1.572,0.1,8.256,13.006,59.2,64.6,66.5,29.9,62.3,32.5,35.1,30.3,0,0,-1.139,15.871,52.221,3.515,4.759,22.436,1.381,0,0,-39.663,-40.631,1.558,0.614,0.409,296.133,17.635,13.989,1.514,5.35,0,0
41408,1.573,0.1,8.256,12.978,59.2,64.6,66.5,29.9,62.3,32.5,35.1,30.3,0,0,-1.177,16.356,52.924,3.86,7.299,21.572,0,0,0,-39.66,-40.631,1.558,0.611,0.416,299.533,16.112,14.338,-0.372,5.674,0,0
41409,1.573,0.1,8.262,12.978,59.2,64.6,66.4,29.9,62.3,32.5,35.1,30.3,0,0,-1.163,16.044,53.257,3.335,5.448,22.347,0.52,0,0,-39.665,-40.625,1.558,0.609,0.41,298.086,16.612,13.779,1.368,5.419,0,0
41410,1.573,0.1,8.274,12.996,59.2,64.6,66.4,29.9,62.3,32.5,35.1,30.4,0,0,-1.111,16.658,52.687,3.737,7.084,21.962,0,0,0,-39.661,-40.633,1.559,0.607,0.409,299.6,17.595,14.671,0.25,5.632,0,0
41411,1.573,0.1,8.256,12.996,59.2,64.6,66.4,29.9,62.3,32.5,35.1,30.4,0,0,-1.152,15.639,53.275,3.403,7.266,22.024,0.87,0,0,-39.661,-40.63,1.558,0.605,0.412,298.281,16.365,12.827,0.542,5.391,0,0
41412,1.573,0.1,8.268,12.996,59.2,64.7,66.4,29.9,62.3,32.5,35,30.4,0,0,-1.149,16.687,53.327,3.686,7.787,20.771,0.649,0,0,-39.664,-40.624,1.559,0.603,0.409,299.439,17.664,14.668,0.709,5.495,0,0
41413,1.573,0.1,8.262,12.996,59.2,64.7,66.4,29.9,62.3,32.5,35,30.4,0,0,-1.123,16.954,53.14,3.627,7.794,22.165,0.085,0,0,-39.656,-40.63,1.559,0.604,0.416,298.915,16.004,13.812,-0.069,5.497,0,0
41414,1.573,0.1,8.256,12.996,59.2,64.7,66.4,29.9,62.3,32.5,35,30.4,0,0,-1.16,17.17,53.036,3.599,5.175,21.828,0.255,0,0,-39.666,-40.619,1.558,0.603,0.407,296.402,17.695,14.228,1.116,5.308,0,0
41415,1.573,0.1,8.268,13.006,59.1,64.7,66.4,29.9,62.3,32.5,35,30.4,0,0,-1.118,17.593,53.579,3.489,6.78,21.795,0,0,0,-39.656,-40.622,1.559,0.602,0.413,296.24,15.294,13.226,-0.504,5.516,0,0
41416,1.573,0.1,8.262,13.015,59.1,64.7,66.4,29.9,62.3,32.5,35,30.4,0,0,-1.138,17.953,53.667,3.59,5.759,22.323,1.018,0,0,-39.666,-40.627,1.559,0.6,0.409,296.451,17.14,13.042,1.503,5.231,0,0
41417,1.573,0.1,8.268,12.987,59.1,64.7,66.4,29.9,62.3,32.5,35,30.3,0,0,-1.108,17.606,53.21,4.115,7.323,22.067,0.355,0,0,-39.66,-40.629,1.559,0.599,0.41,295.005,16.944,15.331,0.029,5.386,0,0
41418,1.573,0.1,8.274,12.996,59.1,64.7,66.3,29.9,62.3,32.5,34.9,30.3,0,0,-1.184,16.862,53.78,3.526,7.366,22.031,1.496,0,0,-39.66,-40.627,1.558,0.6,0.414,297.43,16.315,13.652,0.918,5.184,0,0
41419,1.573,0.1,8.268,12.996,59.1,64.7,66.3,29.9,62.3,32.5,34.9,30.3,0,0,-1.116,17.291,53.83,4.025,6.842,22.161,0,0,0,-39.66,-40.628,1.56,0.598,0.41,297.501,16.114,14.503,0.424,5.35,0,0
41420,1.573,0.1,8.262,13.006,59.1,64.7,66.3,29.9,62.2,32.5,34.9,30.3,0,0,-1.097,19.085,53.488,3.734,7.459,21.706,0,0,0,-39.659,-40.629,1.559,0.598,0.418,296.27,15.569,14.25,0.077,5.457,0,0
41421,1.573,0.1,8.274,12.996,59.2,64.7,66.3,29.9,62.2,32.5,34.9,30.3,0,0,-1.19,19.647,53.88,3.643,6.103,22.615,1.173,0,0,-39.662,-40.629,1.559,0.597,0.411,296.297,17.545,13.783,1.331,5.331,0,0
41422,1.573,0.1,8.262,13.015,59.2,64.7,66.3,29.9,62.2,32.5,34.9,30.3,0,0,-1.085,19.725,54.068,3.726,6.986,21.943,0,0,0,-39.66,-40.623,1.559,0.597,0.412,296.208,15.38,14.348,-0.053,5.667,0,0
41423,1.573,0.1,8.256,12.996,59.2,64.7,66.3,29.9,62.2,32.5,34.9,30.3,0,0,-1.176,19.239,53.959,3.994,5.469,23.297,0.695,0,0,-39.663,-40.637,1.558,0.595,0.414,298.822,17.545,13.855,1.085,5.4,0,0
41424,1.573,0.1,8.256,13.006,59.2,64.7,66.3,29.9,62.2,32.5,34.9,30.3,0,0,-1.128,18.574,53.734,3.978,7.299,22.206,0,0,0,-39.663,-40.629,1.559,0.595,0.408,297.464,17.191,14.884,0.118,5.419,0,0
41425,1.574,0.1,8.268,13.023,59.2,64.7,66.3,29.9,62.2,32.5,34.9,30.3,0,0,-1.117,19.509,54.284,3.877,5.732,23.703,1.384,0,0,-39.664,-40.63,1.559,0.595,0.411,297.463,16.607,13.391,1.145,5.348,0,0
41426,1.573,0.1,8.262,13.023,59.2,64.7,66.3,29.9,62.2,32.5,34.9,30.4,0,0,-1.106,20.917,54.221,3.933,7.215,20.974,0,0,0,-39.664,-40.635,1.56,0.593,0.41,299.751,16.499,15.207,0.213,5.616,0,0
41427,1.574,0.1,8.268,12.995,59.2,64.7,66.3,30,62.2,32.5,34.8,30.4,0,0,-1.18,21.65,54.217,3.877,5.218,22.184,0.348,0,0,-39.664,-40.618,1.559,0.593,0.412,299.792,16.076,13.121,1.018,5.443,0,0
41428,1.574,0.1,8.268,12.995,59.2,64.7,66.3,30,62.2,32.5,34.8,30.4,0,0,-1.165,21.96,54.108,4.251,5.378,21.053,0.147,0,0,-39.657,-40.633,1.559,0.591,0.411,299.772,18.312,14.554,0.932,5.368,0,0
41429,1.574,0.1,8.256,12.995,59.1,64.7,66.3,30,62.2,32.5,34.8,30.4,0,0,-1.17,21.77,53.935,3.769,6.452,23.067,0,0,0,-39.654,-40.62,1.559,0.591,0.416,296.219,16.16,13.771,0.405,5.599,0,0
41430,1.574,0.1,8.274,13.004,59.1,64.7,66.2,30,62.2,32.5,34.8,30.4,0,0,-1.149,22.306,54.28,3.796,7.273,20.9,0.889,0,0,-39.666,-40.627,1.559,0.591,0.407,297.371,17.274,12.874,0.591,5.301,0,0
41431,1.574,0.1,8.262,12.995,59.1,64.7,66.2,30,62.2,32.5,34.8,30.4,0,0,-1.118,22.483,54.353,3.813,8.034,22.713,0.274,0,0,-39.657,-40.635,1.56,0.59,0.414,297.361,16.944,14.116,-0.241,5.502,0,0
41432,1.574,0.1,8.256,12.995,59.1,64.7,66.2,29.9,62.2,32.5,34.8,30.4,0,0,-1.156,21.407,54.483,3.788,6.163,22.247,0.987,0,0,-39.663,-40.62,1.559,0.589,0.41,299.713,17.32,12.977,1.276,5.2,0,0
41433,1.574,0.1,8.268,13.023,59.1,64.7,66.2,29.9,62.2,32.5,34.7,30.4,0,0,-1.104,20.512,54.361,3.696,7.888,21.945,0,0,0,-39.662,-40.63,1.56,0.589,0.409,299.828,16.133,15.219,-0.051,5.665,0,0
41434,1.574,0.1,8.274,12.995,59.1,64.7,66.2,29.9,62.2,32.5,34.7,30.4,0,0,-1.111,20.355,54.208,3.672,7.242,23.268,0.523,0,0,-39.663,-40.627,1.56,0.589,0.412,299.729,16.59,12.963,0.732,5.523,0,0
41435,1.574,0.1,8.262,13.004,59.1,64.7,66.2,29.9,62.2,32.5,34.7,30.4,0,0,-1.136,20.738,54.123,3.823,6.369,22.106,0.224,0,0,-39.663,-40.63,1.561,0.589,0.41,298.652,17.258,13.752,0.739,5.352,0,0
41436,1.574,0.1,8.256,13.014,59.2,64.7,66.2,29.9,62.2,32.5,34.7,30.4,0,0,-1.221,21.118,54.459,3.429,6.938,21.955,0,0,0,-39.652,-40.63,1.56,0.589,0.415,299.788,16.822,13.166,0.434,5.648,0,0
41437,1.574,0.1,8.274,12.995,59.2,64.7,66.2,29.9,62.2,32.5,34.7,30.4,0,0,-1.143,20.905,54.524,3.769,7.259,22.849,0.575,0,0,-39.665,-40.63,1.56,0.587,0.407,299.767,18.085,13.312,0.863,5.379,0,0
41438,1.574,0.1,8.262,13.014,59.2,64.7,66.2,29.9,62.2,32.5,34.7,30.4,0,0,-1.16,21.571,54.425,3.635,7.569,21.689,0.169,0,0,-39.661,-40.63,1.561,0.587,0.416,299.882,15.865,13.535,-0.163,5.568,0,0
41439,1.574,0.1,8.256,13.014,59.2,64.7,66.2,29.9,62.2,32.5,34.7,30.4,0,0,-1.164,21.806,54.554,3.707,5.792,22.323,0.604,0,0,-39.663,-40.633,1.56,0.587,0.411,299.858,16.951,13.774,1.359,5.428,0,0
41440,1.574,0.1,8.262,13.014,59.2,64.7,66.2,29.9,62.1,32.5,34.7,30.4,0,0,-1.14,22.453,54.49,4.143,7.56,22.457,0.358,0,0,-39.661,-40.63,1.561,0.587,0.41,299.766,16.77,13.972,0.459,5.419,0,0
41441,1.574,0.1,8.262,12.995,59.2,64.7,66.1,29.9,62.1,32.5,34.7,30.4,0,0,-1.133,22.244,54.387,3.736,5.95,22.773,0.398,0,0,-39.66,-40.63,1.561,0.587,0.413,299.769,16.846,13.214,0.989,5.338,0,0
41442,1.574,0.1,8.262,13.023,59.2,64.7,66.1,29.9,62.1,32.5,34.7,30.4,0,0,-1.092,22.809,54.018,4.025,7.077,22.393,0,0,0,-39.659,-40.632,1.561,0.587,0.41,299.079,16.973,15.197,0.318,5.505,0,0
41443,1.574,0.1,8.262,12.995,59.2,64.8,66.1,29.9,62.1,32.5,34.6,30.4,0,0,-1.162,22.756,54.122,3.784,6.177,23.12,0.74,0,0,-39.664,-40.628,1.56,0.588,0.411,298.327,17.114,13.04,1.063,5.289,0,0
41444,1.574,0.1,8.262,12.995,59.2,64.8,66.1,30,62.1,32.5,34.6,30.4,0,0,-1.119,23.662,54.605,4.119,7.261,22.558,0,0,0,-39.658,-40.625,1.562,0.585,0.411,297.516,16.552,13.666,-0.199,5.49,0,0
41445,1.574,0.1,8.252,12.989,59.2,64.8,66.1,30,62.1,32.5,34.6,30.4,0,0,-1.187,23.996,54.625,3.922,6.649,22.304,1.085,0,0,-39.666,-40.626,1.56,0.586,0.409,297.498,16.992,13.427,1.29,5.484,0,0
41446,1.574,0.1,8.262,13.004,59.2,64.8,66.1,29.9,62.1,32.5,34.6,30.4,0,0,-1.127,22.848,54.657,3.495,7.259,22.299,0,0,0,-39.656,-40.623,1.561,0.585,0.416,297.468,15.547,13.827,0.034,5.67,0,0
41447,1.574,0.1,8.268,13.014,59.2,64.8,66.1,29.9,62.1,32.5,34.6,30.4,0,0,-1.169,23.227,54.694,3.889,6.481,22.173,0.575,0,0,-39.662,-40.628,1.561,0.585,0.409,298.936,17.997,13.061,0.736,5.212,0,0
41448,1.575,0.1,8.268,13.023,59.2,64.8,66.1,29.9,62.1,32.5,34.6,30.4,0,0,-1.13,23.563,54.67,3.601,6.749,23.077,0,0,0,-39.657,-40.621,1.561,0.585,0.415,297.399,16.203,12.21,0.389,5.639,0,0
41449,1.574,0.1,8.256,12.995,59.2,64.8,66.1,29.9,62.1,32.5,34.6,30.4,0,0,-1.137,23.954,54.636,4.074,6.546,20.123,0.499,0,0,-39.664,-40.625,1.561,0.585,0.41,297.407,17.15,14.164,0.658,5.402,0,0
41450,1.575,0.1,8.268,13.022,59.2,64.8,66.1,29.9,62.1,32.5,34.5,30.4,0,0,-1.134,23.928,54.567,3.332,8.632,22.036,0.64,0,0,-39.655,-40.629,1.561,0.585,0.416,297.436,15.626,14.348,0.273,5.744,0,0
41451,1.574,0.1,8.256,12.995,59.2,64.8,66.1,29.9,62.1,32.5,34.5,30.4,0,0,-1.11,24.099,54.495,4.195,6.137,23.101,0.992,0,0,-39.659,-40.627,1.562,0.584,0.411,297.557,16.88,14.767,0.522,5.331,0,0
41452,1.575,0.1,8.268,13.022,59.2,64.8,66,29.8,62.1,32.5,34.5,30.4,0,0,-1.139,24.101,54.35,3.466,6.699,23.318,0.893,0,0,-39.662,-40.63,1.561,0.583,0.413,297.448,16.131,13.827,0.449,5.628,0,0
41453,1.575,0.1,8.256,13.003,59.2,64.8,66,29.8,62.1,32.5,34.5,30.4,0,0,-1.099,23.478,54.349,3.929,6.223,21.091,0.853,0,0,-39.663,-40.636,1.562,0.583,0.409,301.706,16.382,13.769,0.358,5.303,0,0
41454,1.575,0.1,8.268,13.022,59.2,64.8,66,29.8,62.1,32.5,34.5,30.4,0,0,-1.115,23.51,54.112,3.42,8.084,22.928,1.511,0,0,-39.66,-40.632,1.562,0.583,0.415,297.407,17.107,13.903,0.349,5.509,0,0
41455,1.575,0.1,8.268,13.022,59.2,64.8,66,29.8,62.1,32.5,34.5,30.4,0,0,-1.16,23.407,54.276,3.627,6.627,21.323,0.743,0,0,-39.669,-40.625,1.562,0.584,0.407,297.507,17.377,12.903,0.616,5.177,0,0
41456,1.575,0.1,8.262,13.003,59.2,64.8,66,29.8,62.1,32.5,34.5,30.4,0,0,-1.13,23.656,54.497,3.873,7.321,22.649,0.389,0,0,-39.656,-40.63,1.562,0.583,0.413,299.719,16.09,14.288,-0.17,5.361,0,0
41457,1.575,0.1,8.268,13.022,59.2,64.8,66,29.8,62.1,32.5,34.5,30.4,0,0,-1.125,22.18,54.467,3.631,6.208,21.582,1.759,0,0,-39.666,-40.631,1.562,0.583,0.41,299.737,17.301,13.209,1.368,5.363,0,0
41458,1.575,0.1,8.268,13.022,59.2,64.8,66,29.8,62,32.5,34.4,30.4,0,0,-1.144,22.691,54.454,3.761,7.337,21.641,0,0,0,-39.662,-40.631,1.562,0.583,0.411,299.785,17.073,14.128,0.281,5.681,0,0
41459,1.575,0.1,8.274,13.032,59.2,64.7,65.9,29.8,62,32.5,34.4,30.4,0,0,-1.163,22.92,54.334,4.171,6.51,22.78,1.152,0,0,-39.662,-40.631,1.562,0.582,0.412,297.503,16.624,13.197,0.799,5.722,0,0
41460,1.575,0.1,8.256,13.003,59.2,64.7,65.9,29.8,62,32.5,34.4,30.4,0,0,-1.083,22.591,54.486,4.065,6.89,20.797,0,0,0,-39.662,-40.633,1.563,0.582,0.414,300.462,16.92,14.575,0.334,5.398,0,0
41461,1.576,0.1,8.268,13.03,59.2,64.7,65.9,29.8,62,32.5,34.4,30.4,0,0,-1.162,21.699,54.426,3.573,7.371,23.522,0.599,0,0,-39.659,-40.632,1.562,0.582,0.414,300.387,17.026,13.446,0.4,5.501,0,0
41462,1.576,0.1,8.268,13.03,59.2,64.7,65.9,29.8,62,32.5,34.4,30.4,0,0,-1.123,22.708,54.448,4.239,7.5,21.89,1.501,0,0,-39.665,-40.629,1.562,0.582,0.409,298.709,18.116,13.724,0.839,5.346,0,0
41463,1.575,0.1,8.274,13.032,59.2,64.7,65.9,29.8,62,32.5,34.4,30.4,0,0,-1.143,24.236,54.372,3.608,6.732,22.794,0.051,0,0,-39.656,-40.631,1.562,0.582,0.417,298.67,15.657,13.587,0.213,5.521,0,0
41464,1.576,0.1,8.262,13.03,59.2,64.7,65.9,29.8,62,32.5,34.4,30.4,0,0,-1.12,24.648,53.995,3.641,7.409,21.598,1.822,0,0,-39.664,-40.628,1.563,0.582,0.407,298.497,16.846,13.566,0.729,5.497,0,0
41465,1.575,0.1,8.256,13.003,59.2,64.7,65.9,29.8,62,32.5,34.4,30.4,0,0,-1.114,24.474,54.122,3.968,7.015,22.924,0,0,0,-39.662,-40.632,1.563,0.582,0.411,299.727,16.899,14.243,-0.189,5.631,0,0
41466,1.576,0.1,8.256,13.011,59.2,64.7,65.9,29.8,62,32.5,34.4,30.4,0,0,-1.168,24.055,54.333,3.664,5.897,22.017,0.915,0,0,-39.666,-40.628,1.562,0.582,0.412,296.288,16.349,13.896,0.88,5.702,0,0
41467,1.576,0.1,8.268,13.03,59.2,64.7,65.9,29.8,62,32.5,34.3,30.4,0,0,-1.097,25.251,54.512,4.08,7.481,20.847,0.154,0,0,-39.663,-40.631,1.563,0.579,0.41,296.109,16.313,14.884,0.762,5.38,0,0
41468,1.576,0.1,8.268,13.03,59.2,64.7,65.9,29.8,62,32.5,34.3,30.4,0,0,-1.158,27.075,54.627,3.503,6.893,23.44,0.047,0,0,-39.656,-40.625,1.562,0.579,0.417,300.619,16.985,12.965,0.491,5.4,0,0
41469,1.576,0.1,8.252,13.005,59.2,64.7,65.9,29.8,62,32.5,34.3,30.4,0,0,-1.139,28.109,54.482,4.117,7.254,21.424,0.267,0,0,-39.66,-40.631,1.563,0.58,0.408,301.102,17.179,13.771,0.695,5.33,0,0
41470,1.576,0.1,8.268,13.03,59.2,64.8,65.9,29.8,62,32.5,34.3,30.4,0,0,-1.131,27.865,54.782,3.985,8.397,22.383,0.284,0,0,-39.656,-40.629,1.563,0.579,0.416,301.092,15.303,13.13,0.229,5.383,0,0
41471,1.576,0.1,8.256,13.011,59.2,64.8,65.9,29.8,62,32.5,34.3,30.4,0,0,-1.153,26.862,54.778,3.886,6.378,22.83,1.145,0,0,-39.662,-40.629,1.562,0.579,0.408,299.775,17.765,13.889,1.24,5.298,0,0
